participant_id	age	sex	hand	weight	height	group	species	bci_experience
sub-1	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-10	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-2	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-3	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-4	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-5	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-6	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-7	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-8	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
sub-9	34.1	n/a	n/a	n/a	n/a	Healthy	human	naive
