name	x	y	z	type	material
Fz	-0.0012292786120998045	0.09327445212894306	0.10263929347682083	Ag/AgCl	silver/silver chloride
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	Ag/AgCl	silver/silver chloride
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	Ag/AgCl	silver/silver chloride
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	Ag/AgCl	silver/silver chloride
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	Ag/AgCl	silver/silver chloride
PO7	-0.056948628595126505	-0.06592324268349231	0.04790743802199564	Ag/AgCl	silver/silver chloride
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	Ag/AgCl	silver/silver chloride
PO8	0.05355731544232249	-0.0664169403782647	0.04785097585047131	Ag/AgCl	silver/silver chloride
